EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:20:13.5418498Z, ProcessId : 8932, ThreadId : 8472

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:23:30.2899956Z, ProcessId : 4392, ThreadId : 7480

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:24:12.5655402Z, ProcessId : 6132, ThreadId : 1384

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:26:02.4933424Z, ProcessId : 9128, ThreadId : 2764

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:26:23.1011290Z, ProcessId : 420, ThreadId : 1724

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:26:39.8976812Z, ProcessId : 8392, ThreadId : 6808

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:27:19.3086768Z, ProcessId : 8880, ThreadId : 2860

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:29:16.6729976Z, ProcessId : 9016, ThreadId : 4304

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:32:50.5640598Z, ProcessId : 8320, ThreadId : 7272

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:33:09.4323578Z, ProcessId : 5152, ThreadId : 8424

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:35:01.6513520Z, ProcessId : 2456, ThreadId : 3276

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:39:48.9402429Z, ProcessId : 4872, ThreadId : 7136

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:39:52.5861824Z, ProcessId : 4872, ThreadId : 7136

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:39:52.5871825Z, ProcessId : 4872, ThreadId : 7136

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:39:52.6403518Z, ProcessId : 4872, ThreadId : 7136

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:39:52.6403518Z, ProcessId : 4872, ThreadId : 7136

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:39:52.6443529Z, ProcessId : 4872, ThreadId : 7136

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateAdmin, Payload : [serviceName : IAccountService] [methodName : CreateAdmin] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:39:52.6453574Z, ProcessId : 4872, ThreadId : 7136

EventId : 4, Level : Informational, Message : Method IAccountService.CreateAdmin finished, Payload : [serviceName : IAccountService] [methodName : CreateAdmin] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:39:52.6503499Z, ProcessId : 4872, ThreadId : 7136

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:39:52.6513495Z, ProcessId : 4872, ThreadId : 7136

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:39:52.9026778Z, ProcessId : 4872, ThreadId : 7136

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:39:52.9026778Z, ProcessId : 4872, ThreadId : 7136

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:39:52.9051779Z, ProcessId : 4872, ThreadId : 7136

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:39:52.9056763Z, ProcessId : 4872, ThreadId : 7136

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:39:52.9076772Z, ProcessId : 4872, ThreadId : 7136

EventId : 3, Level : Informational, Message : Invoking method IHallService.CreateHall, Payload : [serviceName : IHallService] [methodName : CreateHall] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:39:52.9081772Z, ProcessId : 4872, ThreadId : 7136

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:25.1940512Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:30.9030817Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:38.8821238Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:38.9562745Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:42.0099512Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:42.0139584Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateAdmin, Payload : [serviceName : IAccountService] [methodName : CreateAdmin] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:57.0715208Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IAccountService.CreateAdmin finished, Payload : [serviceName : IAccountService] [methodName : CreateAdmin] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:57.1215200Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:57.1225192Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:57.1655341Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:57.1655341Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:57.1675355Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:57.1685351Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:57.1705356Z, ProcessId : 1392, ThreadId : 5180

